Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=67fc49a99fbd48de,자율주행 평가 개발자,에스더블유엠 안양 동안구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=7ab0eeaa9b519340,Senior Data Scientist,레이니스트 서울,,"이해하고 활용하는데 어려움이 없으신 분 데이터 분석/모델링을 위한 언어 및 프레임워크 사용에 익숙하신 분 ( Python, R, SQL, Pandas, TensorFlow, Pytorch, Spark 등) 회사 내부 구성원들과..."
https://kr.indeed.com/viewjob?jk=7419a7181a9255fc,[(주)데이터로직스] 웹 개발PL 신입/경력,데이터로직스 울산,,니다. 인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JSP|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>DBA...
https://kr.indeed.com/viewjob?jk=41ad72e917f0afcc,[개발팀] 백엔드 서버 개발자 (경력),시더 안양 만안구,"월급 3,000,000원","기반의 서버 클라이언트 프로젝트 경력 (java, nodejs, python 중 하나) **기업소개 시더(http://cedar.kr/)는 디지털... 경력 (java, nodejs, python 중 하나) [기타 우대내용..."
https://kr.indeed.com/viewjob?jk=704390d63ea1656e,[메가스터디 교육그룹] 메가IT아카데미 웹프로그래밍 학과 실무자 강사,커리어게이트 서울 마포구,,로그래밍 기초 과목 강의 C언어 Python JAVA C++ 알고리즘/자료... 웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=82148902177e2914,"웹개발 신입/경력 정규직, 계약직",더 브릿지 서울 강남구,,"더 브릿지의 미션을 이해하고 깊이 공감하는 분 - Java, Python 유경험자, 프로그래밍 가능하신 분 - C++ 혹은 Javascript에 대한... 깊이 공감하는 분 - Java, Python 유경험자, 프로그래밍 가능하신..."
https://kr.indeed.com/viewjob?jk=ae030e8e748ff5c8,배달로봇 dilly 로봇 소프트웨어 개발자(자율주행) (5년이상),우아한 형제들 서울 송파구,,"ROS2) 기반의 이동로봇 개발 경험이 있는 분 - 컴퓨터 비전, 머신러닝 경험이 있는 분 - C/C++, Python 활용이 가능한 분 - 영어문서작성 및 회화 능력을 갖춘 분 - 다양한 직군과의 원활한 협업 및 의사소통..."
https://kr.indeed.com/viewjob?jk=2de3ab2b6248ed8c,"Software Engineer, Data Platform",Sendbird 서울,,"services and tools in Python, Java, Scala... several programming languages... Python, Java, or Scala Strong analytic skills..."
https://kr.indeed.com/viewjob?jk=1941bdb29b525b77,4차산업혁명관련 콘텐츠 기획 / 개발 / 운영 전문가 찾습니다.,이앤오즈 서울 금천구,,통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|교육·교사·강사·교직원>IT·문화·직업강사>인터넷·IT전문|교육·교사·강사·교직원>IT·문화·직업강사...
https://kr.indeed.com/viewjob?jk=3b812a304a7c3aae,Principal Business Analyst (Retail Progr...,Coupang 3.0 서울,,"사학위 소지자, 관련 분야 석사학위 소지하신 분 이커머스 또는 인터넷 서비스 업계 근무 경력을 보유하신 분 Python 경력을 보유하신 분 파이낸셜 모델링/예측 경력을 보유하신 분 *전형 절차 및 안내 사항 (채용절차법준수..."
https://kr.indeed.com/viewjob?jk=6f88041c28b6c1ae,한글 Q&A 시스템 연구 개발 신입/경력사원,포티투마루 서울 관악구,,"중(9월예정) [지원자격] - 4년제 대학교 졸업 (전산관련학과 이수 또는 그에 상응하는 교육이수자) - Python, Java, C/C++ 등으로 개발 가능하신 분 - Unix/Linux 시스템에 대한 이해가 있으신 분..."
